"id","name","created_at","updated_at"
"1","auger","2015-08-28 09:25:29.127332","2015-08-28 09:25:29.127332"
"2","coring","2015-08-28 09:25:37.690515","2015-08-28 09:25:37.690515"
"3","manual","2015-08-28 09:25:46.176861","2015-08-28 09:25:46.176861"
"4","sediment trap","2015-08-28 09:25:57.338684","2015-08-28 09:25:57.338684"
"5","syringe","2015-08-28 09:26:05.599495","2015-08-28 09:26:05.599495"
"7","lysimeter","2015-08-28 09:26:25.349554","2015-08-28 09:26:25.349554"
"8","piezometer","2015-08-28 09:26:37.498571","2015-08-28 09:26:37.498571"
"9","well"," 2015-08-28 09:26:43.100031","2015-08-28 09:26:43.100031"
"10","litterfall traps"," 2015-08-28 09:26:54.136017","2015-08-28 09:26:54.136017"
"11","precipitation collector","2015-08-28 09:27:18.405603","2015-08-28 09:27:18.405603"
"6","suspended sediment","2015-08-28 09:26:15.922029","2016-02-22 09:50:14.104922"
"12","automatic sampler","2016-02-22 09:50:41.591062","2016-02-22 09:50:41.591062"
"13","pumping","2016-02-22 09:50:53.068063","2016-02-22 09:50:53.068063"
"14","PM-cube","2016-02-22 09:51:00.479006","2016-02-22 09:51:00.479006"
