"id","name","created_at","updated_at"
"1","pH","2016-02-22 15:24:36.038401","2016-02-22 15:24:36.038401"
"2","Eh [mV]","2016-02-22 15:24:46.975202","2016-02-22 15:24:46.975202"
"3","HCO3","2016-02-22 15:24:54.913238","2016-02-22 15:24:54.913238"
"4","T [°C]","2016-02-22 15:25:04.236337","2016-02-22 15:25:04.236337"
"5","Oxygen","2016-02-22 15:25:10.277595","2016-02-22 15:25:10.277595"
"6","HS-","2016-02-22 15:25:19.233434","2016-02-22 15:25:19.233434"
"7","NH4+","2016-02-22 15:25:25.326382","2016-02-22 15:25:25.326382"
"8","NO2+","2016-02-22 15:25:31.669577","2016-02-22 15:25:31.669577"
"9","water table","2016-02-22 15:25:38.025443","2016-02-22 15:25:38.025443"
"10","colour","2016-02-22 15:25:43.282494","2016-02-22 15:25:43.282494"
"11","wetness","2016-02-22 15:25:51.116382","2016-02-22 15:25:51.116382"
"12","texture","2016-02-22 15:25:57.557483","2016-02-22 15:25:57.557483"
"13","density","2016-02-22 15:26:03.093879","2016-02-22 15:26:03.093879"
"14","Electric conductivity EC uS/cm","2016-02-22 15:26:09.269895","2016-02-22 15:26:09.269895"
"15","weight","2016-02-22 15:26:14.24891","2016-02-22 15:26:14.24891"
"16","volume","2016-02-22 15:26:19.773825","2016-02-22 15:26:19.773825"
"17","cardinal direction of rock surface [°]","2016-02-22 15:26:33.263814","2016-02-22 15:26:33.263814"
"18","slope of rock surface [°]","2016-02-22 15:26:40.20951 ","2016-02-22 15:26:40.20951"
"19","light situation of sampling site","2016-02-22 15:26:51.125792","2016-02-22 15:26:51.125792"
"20","rock type [granite; etc.]","2016-02-22 15:26:57.649566","2016-02-22 15:26:57.649566"
"21","is this the typical rock type of the sampling area [y/n]","2016-02-22 15:27:04.339384","2016-02-22 15:27:04.339384"
"22","deterioration: estimated grade of deterioration of rock surface [%]","2016-02-22 15:27:10.15518 ","2016-02-22 15:27:10.15518"
"23","wetness: estimated wetness of rock surface [%]","2016-02-22 15:27:15.20612 ","2016-02-22 15:27:15.20612"
"24","thickness of biotic cover on rock surface [mm]","2016-02-22 15:27:20.792254","2016-02-22 15:27:20.792254"
"25","colour of biofilm/crust [description]","2016-02-22 15:27:26.888903","2016-02-22 15:27:26.888903"
"26","texture of biofilm/crust [soft; granulated dense; etc.]","2016-02-22 15:27:34.539494","2016-02-22 15:27:34.539494"
"27","lichen: estimated coverage of lichens in biofilm/crust [%]","2016-02-22 15:27:44.562622","2016-02-22 15:27:44.562622"
"28","depth of detritus sample [mm]","2016-02-22 15:27:51.898706","2016-02-22 15:27:51.898706"
"29","depth of core drill sample [mm]","2016-02-22 15:27:58.091206","2016-02-22 15:27:58.091206"
"30","thickness of rock surface sample [mm]","2016-02-22 15:28:03.460761","2016-02-22 15:28:03.460761"
