"id","name","creates_siblings","created_at","updated_at","full_name","description","parent_id"
"1","filtration","t","2015-09-01 08:57:14.072185","2015-09-01 08:57:14.072185","filtration",,
"2","acidification","f","2015-09-01 08:57:31.883185","2015-09-01 08:57:31.883185","acidification",,
"3","oven dried","t","2015-09-01 08:58:06.67512","2015-09-01 08:58:06.67512","oven dried",,
"4","sieving","t","2015-09-01 08:58:16.813678","2015-09-01 08:58:16.813678","sieving",,
"5","powdered","t","2015-09-01 08:58:38.171124","2015-09-01 08:58:38.171124","powdered",,
"6","homogenize","t","2015-09-01 08:58:55.404855","2015-09-01 08:58:55.404855","homogenize",,
"7","flotation","t","2015-09-01 08:59:07.122741","2015-09-01 08:59:07.122741","flotation",,
"8","chemical treatment","t","2015-09-01 09:01:15.810859","2015-09-01 09:01:15.810859","chemical treatment",,
"9","mineral separation","f","2015-09-01 09:04:26.63554","2015-09-01 09:04:26.63554","mineral separation",,
"10","bulk dissolution","f","2015-09-01 09:04:43.338947","2015-09-01 09:04:43.338947","bulk dissolution",,
"11","extraction","f","2015-09-01 09:04:53.413793","2015-09-01 09:04:53.413793","extraction",,
"12","rinsed","f","2015-09-01 09:05:26.827527","2015-09-01 09:05:26.827527","rinsed",,
"13","milled","t","2015-09-01 09:05:38.309029","2015-09-01 09:05:38.309029","milled",,
"14","thin section","f","2015-09-01 09:09:32.18052","2015-09-01 09:09:32.18052","thin section",,
"15","sawing","t","2015-09-01 09:09:54.277064","2015-09-01 09:09:54.277064","sawing",,
"16","air dried","t","2015-09-01 09:10:07.516297","2015-09-01 09:10:07.516297","air dried",,
"17","crushing/sieving","t","2015-09-01 09:10:33.833264","2015-09-01 09:10:33.833264","crushing/sieving",,
"18","mineral separation (cosmo)",,"2015-09-08 07:37:23.82727","2015-09-08 07:39:21.739401","mineral separation (cosmo)","",
"19","flotation",,"2015-09-08 07:37:41.347031","2015-09-08 07:39:21.747294","mineral separation (cosmo):flotation",,"18"
"20","magnetic separation",,"2015-09-08 07:37:50.230066","2015-09-08 07:39:21.749743","mineral separation (cosmo):magnetic separation",,"18"
"21","density separation",,"2015-09-08 07:38:03.741062","2015-09-08 07:39:21.752011","mineral separation (cosmo):density separation",,"18"
"22","chemical treatment",,"2015-09-08 07:40:11.416427","2015-09-08 07:40:11.416427","mineral separation (cosmo):chemical treatment",,"18"
